id,author,text,time,parent
41069923,throwaway71271,"When I design systems I just think about tiny traitor generals and their sneaky traitor messengers racing in the war, their clocks are broken, and some of them are deaf, blind or both.<p>CAP or no CAP, chaos will reign.<p>I think FLP (<a href=""https:&#x2F;&#x2F;groups.csail.mit.edu&#x2F;tds&#x2F;papers&#x2F;Lynch&#x2F;jacm85.pdf"" rel=""nofollow"">https:&#x2F;&#x2F;groups.csail.mit.edu&#x2F;tds&#x2F;papers&#x2F;Lynch&#x2F;jacm85.pdf</a>) is better way to think about systems.<p>I think CAP is not as relevant in the cloud because the complexity is so high that nobody even knows what is going on, so the just C part, regardless of the other letters, is ridiculously difficult even on a single computer. A book can be written just to explain write(2)&#x27;s surprise attacks.<p>So you think you have guarantees whatever the designers said they have AP or CP, and yet.. the impossible will happen twice a day (and 3 times at night when its your on-call).",2024-07-25 17:52:38,41069403
41069932,killjoywashere,"The military lives in this world and will likely encourage people to continue thinking about it. Think about wearables on a submarine, as an example. Does the captain want to know his crew is fatigued, about to get sick, getting less exercise than they did on their last deployment? Yes. Can you talk to a cloud? No. Does the Admiral in Hawaii want to know those same answers about that boat, and every boat in the Group, eventually? Yes. For this situation, datacenter-aware databases are great. There are other solutions for other problems.",2024-07-25 17:52:38,41069403
41070301,jes5199,"nice! I have needed this before. I think you&#x27;re using the Meeus algorithm from Astronomical Algorithms? it&#x27;s a classic, great choice",2024-07-25 18:17:01,41069681
41070130,unilynx,"If this feature ever becomes the default (ie not behind a flag) - how will the NPM ecosystem respond? Will contributors still bother to build CJS end EJS versions when publishing a NPM module, or just slap an &#x27;engine: nodejs &gt;= 25&#x27; on the package.json and stop bothering with the build step before pushing to NPM ?<p>I <i>personally</i> would very much prefer if NPM modules that have their original code in TS and are currently transpiling would stop shipping dist&#x2F;<i>.cjs so I unambiguously know where to put my debugger&#x2F;console.log statements. And it would probably be very tempting to NPM contributors to not have to bother with a build step anymore.<p>But won&#x27;t this start a ripple effect through NPM where everyone will start to assume very quickly &#x27;everyone accepts TS files&#x27; - it only takes one of your dependencies for this effect to ripple through? It seems to me that nodejs can&#x27;t move this outside an opt-in-experimental-flag without the whole community implicitly expecting all consumers to accept TS files before you know it. And if they do, it will be just months before Firefox and Safari will be force to accept it too, so all JS compilers will have to discard TS type annotations<p>Which I would personally be happy with - we&#x27;re building transcompiling steps into NPM modules that convert the ts code into js and d.ts just to support some hypothetical JS user even though we&#x27;re using TS on the including side. But if node accepts </i>.ts files we could just remove those transpiling steps without ever noticing it... so what&#x27;s stopping NPM publishers from publishing js&#x2F;d.ts files without noticing they broke anything?",2024-07-25 05:57:37,41064351
41065376,zarzavat,"One thing to note is that it is impossible to strip types from TypeScript without a grammar of TypeScript. Stripping types is not a token-level operation, and the TypeScript grammar is changing all the time.<p>Consider for example: `foo &lt; bar &amp; baz &gt; ( x )`. In TypeScript 1.5 this parsed as (foo&lt;bar) &amp; (baz &gt; (x)) because bar&amp;baz wasn’t a valid type expression yet. When the type intersection operator was added, the parse changed to foo&lt;(bar &amp; baz)&gt;(x) which desugared to foo(x). I realise I’m going back in time here but it’s a nice simple example.<p>If you want to continue to use new TypeScript features you are going to need to keep compiling to JS, or else keep your node version up to date. For people who like to stick on node LTS releases this may be an unacceptable compromise.",2024-07-25 05:57:37,41064351
41064729,pansa2,"If Node.js can run TypeScript files directly, then the TypeScript compiler won&#x27;t need to strip types and convert to JavaScript - it could be used solely as a type checker. This would be similar to the situation in Python, where type checkers check types and leave them intact, and the Python interpreter just ignores them.<p>It&#x27;s interesting, though, that this approach in Python has led to several (4?) different popular type checkers, which AFAIK all use the same type hint syntax but apply different semantics. However for JavaScript, TypeScript seems to have become the one-and-only popular type checker.<p>In Python, I&#x27;ve even heard of people writing types in source code but never checking them, essentially using type hints as a more convenient syntax for comments. Support for ignoring types in Node.js would make that approach possible in JavaScript as well.",2024-07-25 05:57:37,41064351
41066554,BiteCode_dev,"Eventually, node might allow JS to introspect those types.<p>That would be a huge win. Right now in Python, great tools like pydantic exist because Python can introspect said types, and generate checks out of them.<p>This mean you can define simple types, and get:<p>- type checking
- run time data check
- api generation
- api document generation<p>Out of a single, standard notation.<p>Right now in JS, things like zod have to do:<p><pre><code>    const mySchema = z.string();
</code></pre>
Which is basically reinventing what typescript is already doing.",2024-07-25 05:57:37,41064351
41064589,samtheprogram,"Bun’s DX is pretty unprecedented in this space, and most of my use cases are now covered &#x2F; not causing Bun to crash (when actually using run-scripts with `bun run`).<p>Meanwhile, I can’t configure node to not require extensions on import, nor have tsc configured to automatically add .js extensions to its compiled output, without adding on a bundler… although native TypeScript support would remedy this nit quite a bit, I can’t imagine the user experience (or performance) to match Bun’s when it reaches stable.",2024-07-25 05:57:37,41064351
41070505,KrisGaudel,"This is really cool, excited to see where this goes!",2024-07-25 18:36:57,41069909
41070190,phren0logy,"I have only tried one search, but so far it&#x27;s impressive. I have been using elicit.com, but they seem to be taking a different approach that is less AI-heavy. I would definitely give this a shot for a few months.",2024-07-25 18:36:57,41069909
41069781,Already__Taken,"real quite high level sorry, most of your embedded projects going forward are MCU+fpga to do what? I thought a custom router but 284mbps isn&#x27;t nearly fast for a network.",2024-07-25 17:21:36,41068995
41068098,danlark,"Around 4 years ago I compared lots of different median algorithms and the article turned out to be much longer than I anticipated :)<p><a href=""https:&#x2F;&#x2F;danlark.org&#x2F;2020&#x2F;11&#x2F;11&#x2F;miniselect-practical-and-generic-selection-algorithms&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;danlark.org&#x2F;2020&#x2F;11&#x2F;11&#x2F;miniselect-practical-and-gene...</a>",2024-07-25 12:16:53,41066536
41068928,xinok,"&gt; P.S: In 2017 a new paper came out that actually makes the median-of-medians approach competitive with other selection algorithms. Thanks to the paper’s author, Andrei Alexandrescu for bringing it to my attention!<p>He also gave a talk about his algorithm in 2016. He&#x27;s an entertaining presenter, I highly recommended!<p>There&#x27;s Treasure Everywhere - Andrei Alexandrescu<p><a href=""https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=fd1_Miy1Clg"" rel=""nofollow"">https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=fd1_Miy1Clg</a>",2024-07-25 12:16:53,41066536
41070389,kccqzy,"&gt; Quickselect gets us linear performance, but only in the average case. What if we aren’t happy to be average, but instead want to guarantee that our algorithm is linear time, no matter what?<p>I don&#x27;t agree with the need for this guarantee. Note that the article already says the selection of the pivot is by random. You can simply choose a very good random function to avoid an attacker crafting an input that needs quadratic time. You&#x27;ll never be unlucky enough for this to be a problem. This is basically the same kind of mindset that leads people into thinking, what if I use SHA256 to hash these two different strings to get the same hash?",2024-07-25 12:16:53,41066536
41070117,ncruces,"An implementation in Go, that&#x27;s (hopefully) simple enough to be understandable, yet minimally practical:<p><a href=""https:&#x2F;&#x2F;github.com&#x2F;ncruces&#x2F;sort&#x2F;blob&#x2F;main&#x2F;quick&#x2F;quick.go"">https:&#x2F;&#x2F;github.com&#x2F;ncruces&#x2F;sort&#x2F;blob&#x2F;main&#x2F;quick&#x2F;quick.go</a>",2024-07-25 12:16:53,41066536
41070083,jagged-chisel,It&#x27;s quicksort with a modification to select the median during the process. I feel like this is a good way to approach lots of &quot;find $THING in list&quot; questions.,2024-07-25 12:16:53,41066536
41066926,yoz,"Jordan Eldredge, the author, has done some amazing WinAmp-related projects over the years, including WebAmp (a web-based, from-scratch reimplementation of much of WinAmp) and a WASM engine for WinAmp-style music visualisation.<p>His project page: <a href=""https:&#x2F;&#x2F;jordaneldredge.com&#x2F;projects&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;jordaneldredge.com&#x2F;projects&#x2F;</a>",2024-07-25 07:14:57,41064645
41069557,sen,"I miss skinning so much. I was hugely into the scene of making&#x2F;releasing skins for any&#x2F;every program that included the ability (and a bunch that didn’t, thanks to unsigned applications).<p>To this day I’m the type to customise everything I own and I despise staring at generic looking programs all day. It’s even worse when it’s stuff like Discord that has a very opinionated style that won’t even respect the small amount of customisation my Linux theming gives me.<p>I feel like a huge reason the indie web died off was OSes and programs limiting user customisation which was a gateway drug for many.  MySpace themes would get people learning html&#x2F;css. Winamp skins got people learning photoshop&#x2F;graphics. mIRC scripting taught people basic coding. OS customising had all of it.  Now you just shut up and use it as they dictate.",2024-07-25 07:14:57,41064645
41067230,thenthenthen,"I remember “Sovereign Sect” as having something to do with skateboard(apparel)[1]. Not totally sure what or how.<p>[1]<a href=""https:&#x2F;&#x2F;www.thrashermagazine.com&#x2F;articles&#x2F;magazine&#x2F;the-regrouping-of-the-sovereign-sect&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;www.thrashermagazine.com&#x2F;articles&#x2F;magazine&#x2F;the-regro...</a>",2024-07-25 07:14:57,41064645
41067232,MaxGripe,"I’m mostly using Windows, so even today, it remains my main audio player. I use Winamp for FLACs and DI.fm streams",2024-07-25 07:14:57,41064645
41065440,pandemic_region,"I had an incredible deja-vu feeling on the guys standing around the hoop, so weird.",2024-07-25 07:14:57,41064645
41070511,rob,[delayed],2024-07-25 18:04:24,41069527
41070509,batch12,"When I did this, I found it to also be an interesting way to fingerprint users and find alternate accounts. I was able to match an old account I used in a top 10 similarity match out of all users.",2024-07-25 18:04:24,41069527
41070462,junon,"Would be interested in a study, unfeasible as it may be, on the social compatibility of people who have the strongest overlap between themselves and the next closest user.<p>Cool visualization and analysis, really well made!",2024-07-25 18:04:24,41069527
41070463,mattdesl,For the “terrain contours” is there something specific you’ve done to make it feel more cartographic? Or is it basically just marching cubes &#x2F; iso lines on some data points?<p>Looks fantastic. Very cool project.,2024-07-25 18:04:24,41069527
41070447,causal,This is really cool. Also a healthy reminder that anything we post publicly is likely to be analyzed. With a little analysis it&#x27;s probably easy to know me better than I know myself.,2024-07-25 18:04:24,41069527
